x, y
18.0, -255.4323426639282
18.1, -255.2749676227436
18.2, -252.6218144581778
18.3, -254.19106936262688
18.4, -254.22688239821858
18.5, -255.36298520268684
18.6, -262.2660208589614
18.7, -265.6967084110912
18.8, -263.8498628511656
18.9, -268.8980656319848
19.0, -263.89043326159526
19.1, -266.742376441618
19.2, -269.35093513779395
19.3, -269.93962372523004
19.4, -270.81996337893366
19.5, -271.13786742805
19.6, -273.2833069725222
19.7, -278.52646547995545
19.8, -275.6609320169201
19.9, -278.1804235322044
20.0, -277.2370876985546
20.1, -278.60581457140563
20.2, -281.2203408208506
20.3, -287.0784805682491
20.4, -287.1822308916279
20.5, -282.53584354415176
20.6, -286.81449941049425
20.7, -287.00316229265866
20.8, -292.76374145826156
20.9, -296.3764011519957
21.0, -295.118951650323
21.1, -296.70633720010056
21.2, -293.48381098274876
21.3, -300.8418054406108
21.4, -298.425518058016
21.5, -298.10010236663726
21.6, -305.0912847991655
21.7, -305.7925048324075
21.8, -306.9798839453484
21.9, -309.4923691597248
22.0, -309.47835626240476
22.1, -313.4890847243595
22.2, -309.9745330495659
22.3, -310.31677427431566
22.4, -310.9576282338774
22.5, -312.52253345422025
22.6, -313.7669418122273
22.7, -321.1824501593669
22.8, -319.9596709705509
22.9, -320.36885304538765
23.0, -318.981816533567
23.1, -320.90023598822745
23.2, -326.95194960280605
23.3, -321.8940372145973
23.4, -331.33877517835185
23.5, -329.81672501335805
23.6, -326.7344874404438
23.7, -334.85711342233174
23.8, -332.3232407943498
23.9, -332.30608955025
24.0, -332.2158691655211
24.1, -340.5243795256699
24.2, -339.18842955719396
24.3, -342.6319332778676
24.4, -338.3151877216852
24.5, -346.91714195933713
24.6, -341.2401861919456
24.7, -344.59747914885094
24.8, -342.771271826777
24.9, -351.9681935270173
25.0, -351.914037309377
25.1, -351.4521966951362
25.2, -351.3700319850762
25.3, -351.95895040589573
25.4, -353.80519487650594
25.5, -359.41653694597966
25.6, -357.4239970571632
25.7, -357.0495920745202
25.8, -363.5573673304374
25.9, -359.9237410063484
26.0, -364.25511344782075
26.1, -368.49873575684364
26.200000000000003, -369.35509523781496
26.3, -365.2587463963389
26.4, -371.9426132797283
26.5, -369.2970987271107
26.6, -376.6969519398948
26.700000000000003, -372.699018774573
26.8, -370.7022577806577
26.9, -374.41128587249847
27.0, -375.15331182443697
27.1, -379.53069209768614
27.200000000000003, -376.961497215491
27.3, -379.6492707062962
27.4, -383.9325103832794
27.5, -389.4257030443194
27.6, -387.487086668406
27.700000000000003, -386.3183111382707
27.8, -389.29308280959503
27.9, -386.6216643726264
